adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,2079000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",http://www.excelmovies.com/,14752,tt0292490,en,Dil Chahta Hai,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",4.558793,/3Rwy4UjWBGEbD23xjyeBsL3OnXQ.jpg,"[{'name': 'Excel Entertainment', 'id': 2934}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2001-07-24,4099000,183,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hi', 'name': 'हिन्दी'}, {'iso_639_1': 'ur', 'name': 'اردو'}]",Released,Welcome to a summer of their lives you will never forget.,Dil Chahta Hai,False,7.1,71
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,4254,tt0347304,hi,कल हो ना हो,"Naina is a very serious girl with a very serious life. But one day, her soul is awakened by the happy-go-lucky Aman, who teaches her that life is meant to be lived. Naturally, she falls in love with him. But Aman is harboring a secret that keeps him from reciprocating Naina's love. But he cannot stand having her live a life without love, so he sets off on a mission to fill her life with someone else's love - someone she already knows...",5.584308,/n6H4t5vDcoC2RSccTsSJA3ZQp7U.jpg,"[{'name': 'Dharma Productions Dillywood', 'id': 66326}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2003-11-27,13200241,186,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Kal Ho Naa Ho,False,7.3,110
False,,6250000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10769, 'name': 'Foreign'}]",,20651,tt0437407,en,Parineeta,"They fall in love before they know its meaning, Lolita, orphaned at an early age &amp; Shekhar, who reaches out &amp; gives her the security she craves.They share joys &amp; sorrows through childhood &amp; adolescence,unknown to them the relationship of an unspoken right they hold over eachother metamorphs into an intense love, they don't even sense coming. It Takes and outsider for them to realize their love.",1.361436,/fErlu4X3sPT2zSMKUBmdDSCnLHV.jpg,[],"[{'iso_3166_1': 'IN', 'name': 'India'}]",2005-06-10,0,131,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Parineeta,False,6.6,11
False,,0,"[{'id': 28, 'name': 'Action'}]",,12259,tt0073707,hi,शोले,"A Police Officer, whose family was killed by a bandit named Gabbar Singh, decides to fight fire with fire and recruits two convicts, Jai & Veeru, to bring Gabbar Singh to jail alive, but will they succeed in their mission and get their reward? Come and watch the action-packed super-hit Sholay to find out!!",3.618832,/mgy5myvnG87BN8WrzvkBYOnAOYK.jpg,"[{'name': 'United Producers', 'id': 4470}, {'name': 'Ramesh Sippy Entertainment', 'id': 14516}, {'name': 'Sholay Media & Entertainment', 'id': 67523}, {'name': 'Sippy Films', 'id': 67524}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",1975-08-15,0,204,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,The greatest star cast ever assembled.......The greatest story ever told,Sholay,False,6.9,58
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,5319,tt0150992,hi,Hum Dil De Chuke Sanam,"Indian-based traditional family of Pundit Darbar (Vikram Gokhale) gets a visit from Sameer Rafilini (Salman Khan), from Italy, who has come as a pupil to learn music and singing. Darbar and his family accept him. Sameer meets Nandini (Aishwarya Rai), Darbar's daughter, and both fall in love. But Darbar wants Nandini to wed Vanraj (Ajay Devgan), and has Sameer swear that he will leave India.",1.531604,/x28pUIfzQrQXLj2tAW7LWazEqqt.jpg,"[{'name': 'Bhansali Films', 'id': 1892}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",1999-06-18,0,188,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Hum Dil De Chuke Sanam,False,6.5,24
False,,0,"[{'id': 18, 'name': 'Drama'}]",,31977,tt0375611,hi,Black,"Black is an adaptation of Helen Keller's autobiography. Black revolves around a blind and deaf girl, and her relationship with her teacher who himself later develops Alzheimer's disease.",2.854219,/fhV8VT74IgJtnLjt29YkMYp0l5u.jpg,"[{'name': 'SLB Films Pvt. Ltd.', 'id': 3170}, {'name': 'Applause Bhansali Productions', 'id': 34087}, {'name': 'Applause Entertainment Ltd.', 'id': 34088}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2005-02-04,733094,122,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Black,False,7.7,40
False,,0,"[{'id': 18, 'name': 'Drama'}]",,14134,tt0347473,hi,Main Hoon Na,"An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother.",2.869463,/y9BjMMeqpgzkeRSKA5iYW8zbPPy.jpg,"[{'name': 'Red Chillies Entertainment', 'id': 2343}, {'name': 'Eros International', 'id': 3653}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2004-04-30,0,175,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Main Hoon Na,False,7.1,60
False,,13200000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,19404,tt0112870,hi,Dilwale Dulhania Le Jayenge,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",34.457024,/2gvbZMtV1Zsl7FedJa5ysbpBx2G.jpg,"[{'name': 'Yash Raj Films', 'id': 1569}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",1995-10-20,100000000,190,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,Come... Fall In Love,Dilwale Dulhania Le Jayenge,False,9.1,661
False,,0,"[{'id': 18, 'name': 'Drama'}]",,917,tt0050188,hi,Mother India,Mother India is an Indian film from director Mehboob Khan from 1957 and is the most successful and popular Hindi film.,0.97758,/jC8JYvpR5LMTu7Qc1E4xURt9Cpq.jpg,"[{'name': 'Mehboob Productions', 'id': 600}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",1957-02-13,0,172,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Mother India,False,6.8,11
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}, {'id': 10769, 'name': 'Foreign'}]",,33081,tt0451850,en,Paheli,"Kishanlal marries the beautiful Lachchi, but the day after the wedding, he leaves on business for five years. When Kishanlal reappears only a few days later, Lachchi is delighted, but this new Kishanlal is in fact a spirit who has taken the form of Lachchi's husband, after having seen her by chance and fallen in love with her. Four years later, the real Kishanlal returns and the townsfolk must determine who is who.",1.436484,/gy4WCGQwsl3fqq0XerlfZxFLFgf.jpg,"[{'name': 'Red Chillies Entertainment', 'id': 2343}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2005-06-24,0,141,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Paheli,False,6.3,20
False,,0,"[{'id': 18, 'name': 'Drama'}]",,80556,tt0076696,hi,शतरंज के खिलाड़ी,"It is the year 1856. Nawab Wajid Ali Shah is the king of Awadh, one of the last independent kingdoms of India. The British colonialists, intent on controlling this rich land, have sent general Outram on a secret mission to clear the way for an annexation. Pressure is mounting amidst intrigue and political manoeuvres, but the Nawab whiles away his time in pursuit of pleasure and religious practice. The court is of no help either—Court nobles Mir and Mirza, ignoring the situation of their country and all their duties towards their families, spend their days playing endless games of chess.  The film is based on Munshi Premchand's short story of the same name.",0.813813,/gapiukALXv0aa0gQ3cPYsWlTlrj.jpg,"[{'name': 'Devki Chitra', 'id': 64323}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",1977-10-02,0,129,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}, {'iso_639_1': 'ur', 'name': 'اردو'}]",Released,,The Chess Players,False,6.9,8
False,,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",,43410,tt0382383,hi,Yuva,"Michael (Ajay Devgan) , Arjun (Vivek Oberoi) and Lallan (Abhishek Bachchan) are three young men in Kolkata , with different ideals and objectives . Michael is an idealistic youth leader who dreams of a better India being created by the youth power . Arjun is a self-centered , opportunistic , easygoing fellow whose objective is to immigrate to a developed country and make big money . Lallan is a goon who works for Prosenjit Chatterjee (Om Puri) , an immoral politician . The lives of these three different people become intertwined following a murder attempt and an accident in broad daylight on the Hooghly bridge",0.507051,/m3h7iSCBBFT40IZYuh3IjJN6fjE.jpg,"[{'name': 'Madras Talkies', 'id': 3118}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2004-05-22,0,161,"[{'iso_639_1': 'bn', 'name': 'বাংলা'}, {'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Yuva,False,6.5,12
False,,0,"[{'id': 18, 'name': 'Drama'}]",,60567,tt0057277,bn,মহানগর,"Life at home changes when a housewife from a middle-class, conservative family in Calcutta gets a job as a salesperson.",0.865544,/Ak9VyU4TwXZbhRZm8Pn5FJSuUWZ.jpg,"[{'name': 'R.D.Banshal & Co.', 'id': 15320}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",1963-09-27,0,131,"[{'iso_639_1': 'bn', 'name': 'বাংলা'}]",Released,,The Big City,False,8,16
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,33375,tt0397551,hi,My Bollywood Bride,"The story of Alex, a copy-writer dreaming of being an adventure novelist someday, who meets and romances Indian beauty Reena, while she is vacationing in California. Torn by her blossoming feelings for Alex and her Indian family values and obligations, Reena returns home without saying goodbye. Alex, distraught by the turn of events, decides to follow her to Mumbai and win her back.",0.885042,/7s01ayKQpapZfKvTAf7gJbgQVKC.jpg,[],"[{'iso_3166_1': 'IN', 'name': 'India'}]",2006-01-14,0,95,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,My Bollywood Bride,False,3,1
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",http://www.eklavyatheroyalguard.com/,192675,tt0459605,en,Eklavya: The Royal Guard,"As the kingdom of Devigarh comes apart at the seams, an aging bodyguard attempts to protect the Royal Family, as well as keep its darkest secrets from ever coming to light.",0.319771,/zmus3kQADTETuj4F70u3s4NTmuT.jpg,"[{'name': 'Vidhu Vinod Chopra Productions', 'id': 3781}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2007-01-01,0,105,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Eklavya: The Royal Guard,False,6.8,6
False,,2200000,"[{'id': 18, 'name': 'Drama'}]",,7913,tt0405508,hi,Rang De Basanti,"A young idealistic English filmmaker, Sue, arrives in India to make a film on Indian revolutionaries Bhagat Singh, Chandrashekhar Azad and their contemporaries and their fight for freedom from the British Raj. Owing to a lack of funds, she recruits students from Delhi University to act in her docu-drama. She finds DJ, who passed out five years back but still wants to be a part of the University because he doesn't think there's too much out there in the real world to look forward to. Karan, the son of Industrialist Rajnath Singhania, who shares an uncomfortable relationship with his father, but continues to live off him, albeit very grudgingly. Aslam, is a middle class Muslim boy, who lives in the by-lanes near Jama Masjid, poet, philosopher and guide to his friends. Sukhi, the group's baby, innocent, vulnerable and with a weakness for only one thing - girls. Laxman Pandey...",4.102052,/bAzCzOpJ6lkDDjmhnxsLbIloH9P.jpg,"[{'name': 'Flicks Motion Pictures', 'id': 2319}, {'name': 'UTV Motion Pictures', 'id': 2320}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2006-01-26,11502151,157,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,A Generation Awakens,Rang De Basanti,False,7.2,98
False,,9100000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,8079,tt1024943,hi,Om Shanti Om,"In this modern remake of Karz, Om - an aspiring actor from the 1970s - is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life.",4.384156,/mHjZH6GKLdHQQDxHut5cm4EtoKu.jpg,"[{'name': 'Red Chillies Entertainment', 'id': 2343}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2007-11-07,37707444,170,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,"For some dreams, one lifetime is not enough",Om Shanti Om,False,7.2,85
False,,2600000,"[{'id': 18, 'name': 'Drama'}]",http://www.taarezameenpar.com/,7508,tt0986264,hi,Taare Zameen Par,"Ishaan Awasthi is an eight-year-old whose world is filled with wonders that no one else seems to appreciate. Colours, fish, dogs, and kites don't seem important to the adults, who are much more interested in things like homework, marks, and neatness. Ishaan cannot seem to get anything right in class; he is then sent to boarding school, where his life changes forever.",6.093304,/t8x4j5KtI6hZRUVtPPztNBo1q5W.jpg,"[{'name': 'Aamir Khan Productions', 'id': 2140}, {'name': 'UTV Motion Pictures', 'id': 2320}, {'name': 'Walt Disney Studios Home Entertainment', 'id': 3202}, {'name': 'PVR Cinemas', 'id': 3661}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2007-12-21,28430000,165,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,Every child is special,Taare Zameen Par,False,7.7,194
False,,8376800,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",http://www.jodhaaakbar.com/,14073,tt0449994,hi,Jodhaa Akbar,"Jodhaa Akbar is a sixteenth century love story about a marriage of alliance that gave birth to true love between a great Mughal Emperor, Akbar and a Rajput princess, Jodhaa.",12.237488,/fi2aEp8RpVoh4jYRsOUcTRinYNd.jpg,"[{'name': 'UTV Motion Pictures', 'id': 2320}, {'name': 'Ashutosh Gowariker Productions Pvt. Ltd.', 'id': 3579}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2008-02-15,13000000,213,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}, {'iso_639_1': 'ta', 'name': 'தமிழ்'}]",Released,,Jodhaa Akbar,False,7.6,74
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}, {'id': 10749, 'name': 'Romance'}]",http://www.saawariyafilm.com/,16283,tt0758053,hi,Saawariya,"Orphaned and homeless Ranbir Raj re-locates to a small town and orders a glass of milk in the RK Bar. He befriends a prostitute by the name of Gulabji, who invites him to spend the night with her, and when he refuses, she re-directs him to Lillian who rents out rooms. Ranbir meets with Lillian, who has been living alone for 37 years after her son, Vincent, left to join the army and did not return.",1.859399,/yYudmq7ZY8wO2sl6QsAbv3othmw.jpg,"[{'name': 'Sony Pictures Classics', 'id': 58}, {'name': 'SLB Films Pvt. Ltd.', 'id': 3170}, {'name': 'SLB Films', 'id': 3171}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2007-11-07,0,142,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Saawariya,False,5.5,25
False,,0,"[{'id': 18, 'name': 'Drama'}]",,43031,tt0053765,bn,দেবী,"Devi focuses on a young woman, who is deemed a goddess when her father-in-law, a rich feudal landlord, envisions her as the Goddess Kali.",0.241231,/t3yMzBTc4mYfIzdGSQnIsu9X5G2.jpg,[],"[{'iso_3166_1': 'IN', 'name': 'India'}]",1960-02-19,0,93,"[{'iso_639_1': 'bn', 'name': 'বাংলা'}]",Released,,The Goddess,False,6.9,9
False,,0,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}]",,822,tt0051792,bn,জলসাঘর,"A wealthy landlord who lives a decadent life with his wife and son. His passion - his wife would call it his addiction - is music, and he spends a great deal of his fortune on concerts held for the locals in his magnificent music room. He feels threatened by his neighbour, a commoner who has attained riches through business dealings. His passion for music and quest for social respect are his undoing, as he sacrifices his family and wealth trying to retain it.",1.28194,/aiTN7DL3vJYr3X26sXM0wNxYIQ7.jpg,"[{'name': 'The Criterion Collection', 'id': 10932}, {'name': 'Arora', 'id': 58215}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",1958-10-10,0,100,"[{'iso_639_1': 'bn', 'name': 'বাংলা'}]",Released,,The Music Room,False,7.7,31
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,35790,tt0057935,bn,চারুলতা,"Charu lives a lonely and idle life in 1870s India. Although her husband Bhupati devotes more time to his newspaper than to their marriage, he sees her loneliness and asks his brother-in-law,Umapada to keep her company. At the same time Bhupati's own brother, Amal, a would-be writer comes home finishing his college education. However, after several months, Charu and Amal's feelings for each other move beyond literary friendship.",0.823651,/8wnaYoVcSL8TbjWPUqSX8s8PfqG.jpg,"[{'name': 'R. D. Banshal & Co.', 'id': 14409}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",1964-04-17,0,117,"[{'iso_639_1': 'bn', 'name': 'বাংলা'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,,Charulata,False,7.2,26
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",http://www.yashrajfilms.com/microsites/rnbdjmicro/rnbdj.html,14072,tt1182937,hi,Rab Ne Bana Di Jodi,"A lonely 40-ish man, likely to remain a bachelor, has a chance to find the love of his life when he falls for a vivacious young woman.",4.001251,/m8x6I2qf3R98HtF4DmJXcdxCU64.jpg,"[{'name': 'Yash Raj Films', 'id': 1569}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2008-12-11,0,167,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Rab Ne Bana Di Jodi,False,6.7,64
